,Poet,birthday
1580,Charles%20North,/poets/charles-north
1581,J.%20V.%20Cunningham,/poets/j-v-cunningham
1582,Chen%20Chen,/poets/chen-chen
1583,Dave%20Crawley,/poets/dave-crawley
1584,Edgar%20Bowers,/poets/edgar-bowers
1585,Albert%20Goldbarth,/poets/albert-goldbarth
1586,Sam%20Willetts,/poets/sam-willetts
1587,Thomas%20Heywood,/poets/thomas-heywood
1588,Helen%20Leigh,/poets/helen-leigh
1589,Eleanor%20Ross%20Taylor,/poets/eleanor-ross-taylor
1590,Eliza%20Griswold,/poets/eliza-griswold
1591,John%20Updike,/poets/john-updike
1592,Anna%20Moschovakis,/poets/anna-moschovakis
1593,Matthew%20Rohrer,/poets/matthew-rohrer
1594,Ethan%20Stebbins,/poets/ethan-stebbins
1595,Judith%20Harris,/poets/judith-harris
1596,Bruce%20F.%20Murphy,/poets/bruce-f-murphy
1597,Mary%20Margaret%20Alvarado,/poets/mary-margaret-alvarado
1598,Robert%20Sullivan,/poets/robert-sullivan
1599,Elizabeth%20Campbell,/poets/elizabeth-campbell
1600,George%20Marion%20McClellan,/poets/george-marion-mcclellan
1601,Mai%20Der%20Vang,/poets/mai-der-vang
1602,Lynn%20Powell,/poets/lynn-powell
1603,Carol%20Frost,/poets/carol-frost
1604,Fiona%20Hile,/poets/fiona-hile
1605,Chase%20Twichell,/poets/chase-twichell
1606,Reginald%20Gibbons,/poets/reginald-gibbons
1607,avery%20r.%20young,/poets/avery-young
1608,Albery%20Allson%20Whitman,/poets/albery-allson-whitman
1609,Mary%20Kinzie,/poets/mary-kinzie
1610,Kathleen%20Lynch,/poets/kathleen-lynch
1611,Judith%20Kroll,/poets/judith-kroll
1612,Chris%20Tse,/poets/chris-tse
1613,Tania%20Rochelle,/poets/tania-rochelle
1614,Mona%20Arshi,/poets/mona-arshi
1615,Kathryn%20Maris,/poets/kathryn-maris
1616,Daljit%20Nagra,/poets/daljit-nagra
1617,Matthew%20Zapruder,/poets/matthew-zapruder
